,btc_open,btc_high,btc_low,btc_close,btc_volume,eth_open,eth_high,eth_low,eth_close,eth_volume,nasdaq_open,nasdaq_high,nasdaq_low,nasdaq_close,nasdaq_volume
2021-01-01 00:00:00,28923.63,29470.0,28690.17,29278.4,11560.456553,,,,,,,,,,
2021-01-01 04:00:00,29278.41,29395.0,28806.54,29092.83,7308.910274,,,,,,,,,,
2021-01-01 08:00:00,29092.84,29402.57,28872.24,29313.49,8283.705319,,,,,,,,,,
2021-01-01 12:00:00,29313.49,29600.0,29030.14,29188.67,11794.949515,,,,,,,,,,
2021-01-01 16:00:00,29188.67,29360.0,28624.57,29029.04,9850.965345,,,,,,,,,,
2021-01-01 20:00:00,29029.04,29338.89,28880.37,29331.69,5383.938005,,,,,,,,,,
2021-01-02 00:00:00,29331.7,29469.0,28946.53,29351.95,7393.028526,,,,,,,,,,
2021-01-02 04:00:00,29351.95,29820.5,29220.0,29750.0,9865.642845,,,,,,,,,,
2021-01-02 08:00:00,29751.47,29899.0,29473.91,29755.0,9226.804608,,,,,,,,,,
2021-01-02 12:00:00,29754.99,31800.0,29741.39,31691.29,34028.973399,,,,,,,,,,
2021-01-02 16:00:00,31691.09,33300.0,31616.42,33027.2,34849.617798,,,,,,,,,,
2021-01-02 20:00:00,33027.2,33061.37,30300.0,32178.33,34629.806186,,,,,,,,,,
2021-01-03 00:00:00,32176.45,32884.09,31962.99,32573.87,10890.302907,,,,,,,,,,
2021-01-03 04:00:00,32576.11,34778.11,32450.0,34452.34,26286.126296,,,,,,,,,,
2021-01-03 08:00:00,34451.78,34670.41,33403.0,34413.53,22651.532867,,,,,,,,,,
2021-01-03 12:00:00,34413.53,34600.0,32727.0,33506.62,23240.077177,,,,,,,,,,
2021-01-03 16:00:00,33505.15,33822.69,32267.0,32772.21,22427.187643,,,,,,,,,,
2021-01-03 20:00:00,32775.1,33861.92,32600.0,33000.05,15462.33986,,,,,,,,,,
2021-01-04 00:00:00,33000.05,33588.0,32400.25,33505.16,14536.79062,,,,,,12906.0,12916.6,12837.4,12862.9,0.0
2021-01-04 04:00:00,33505.15,33600.0,31505.0,32068.84,21398.871909,,,,,,12863.1,12889.6,12862.9,12880.1,0.0
2021-01-04 08:00:00,32068.84,32567.88,28130.0,30743.06,46591.471025,,,,,,12880.4,12971.8,12880.1,12961.0,0.0
2021-01-04 12:00:00,30742.99,32185.67,30454.25,31745.72,26592.539453,,,,,,12960.9,12966.0,12944.8,12953.9,0.0
2021-01-04 16:00:00,31745.71,31920.0,30626.36,31665.51,19886.660603,,,,,,12953.9,12956.1,12536.0,12609.6,0.0
2021-01-04 20:00:00,31665.52,32031.01,30856.08,31988.71,11893.55208,,,,,,12609.5,12720.2,12597.6,12701.0,0.0
2021-01-05 00:00:00,31989.75,32853.38,31130.86,31200.0,20813.0786,,,,,,12693.4,12733.8,12672.0,12724.6,0.0
2021-01-05 04:00:00,31190.04,31538.45,29900.0,30817.77,23019.057178,,,,,,12724.3,12738.8,12673.5,12703.5,0.0
2021-01-05 08:00:00,30817.78,31821.94,30817.78,31776.66,13255.6011,,,,,,12703.6,12728.4,12652.2,12714.1,0.0
2021-01-05 12:00:00,31776.66,32375.07,31111.78,32099.98,16243.276369,,,,,,12714.3,12736.8,12624.6,12624.6,0.0
2021-01-05 16:00:00,32099.97,34187.09,31763.23,33697.75,23832.165758,,,,,,12625.0,12793.6,12623.4,12739.6,0.0
2021-01-05 20:00:00,33693.8,34360.0,33318.0,33949.53,18886.818033,,,,,,12739.8,12820.0,12734.5,12815.7,0.0
2021-01-06 00:00:00,33949.53,34170.0,33288.0,34117.59,15779.353879,,,,,,12811.5,12855.3,12678.7,12730.0,0.0
2021-01-06 04:00:00,34116.76,35766.58,34109.83,34676.4,26152.96499,,,,,,12730.0,12749.2,12585.2,12622.2,0.0
2021-01-06 08:00:00,34666.8,35200.0,33357.9,34918.53,21063.050567,,,,,,12622.4,12677.8,12503.8,12593.9,0.0
2021-01-06 12:00:00,34918.54,35088.0,34052.42,34566.19,18644.311939,,,,,,12593.4,12655.1,12513.9,12583.6,0.0
2021-01-06 16:00:00,34566.18,35695.0,34372.92,34816.72,18876.49598,,,,,,12583.6,12807.7,12564.5,12778.0,0.0
2021-01-06 20:00:00,34818.95,36939.21,34280.0,36769.36,26623.023955,,,,,,12777.5,12804.5,12602.2,12669.4,0.0
2021-01-07 00:00:00,36769.36,37699.0,36422.71,37454.48,19662.246626,,,,,,12666.6,12749.4,12657.8,12748.6,0.0
2021-01-07 04:00:00,37452.62,37700.8,36710.0,36859.85,16315.182158,,,,,,12748.4,12753.3,12704.1,12720.6,0.0
2021-01-07 08:00:00,36863.04,37913.72,36300.0,37822.09,17213.968918,,,,,,12720.6,12773.6,12672.1,12698.3,0.0
2021-01-07 12:00:00,37825.64,38970.42,37518.0,38970.42,22645.701477,,,,,,12698.3,12739.2,12674.1,12721.9,0.0
2021-01-07 16:00:00,38970.41,40365.0,36500.0,39062.0,39368.560182,,,,,,12721.5,12932.5,12721.0,12906.3,0.0
2021-01-07 20:00:00,39061.99,39969.0,38352.88,39432.28,17620.041076,,,,,,12906.0,12970.7,12881.5,12937.9,0.0
