,btc_open,btc_high,btc_low,btc_close,btc_volume,eth_open,eth_high,eth_low,eth_close,eth_volume,nasdaq_open,nasdaq_high,nasdaq_low,nasdaq_close,nasdaq_volume,sp500_close,btc_return,btc_return_30d,btc_volatility_30d,btc_drawdown,btc_crash_flag,btc_boom_flag,btc_convexity,btc_liquidity_cost,eth_return,eth_return_30d,eth_volatility_30d,eth_drawdown,eth_crash_flag,eth_boom_flag,eth_convexity,eth_liquidity_cost,nasdaq_return,nasdaq_return_30d,nasdaq_volatility_30d,nasdaq_drawdown,nasdaq_crash_flag,nasdaq_boom_flag,nasdaq_convexity,nasdaq_liquidity_cost,corr_btc_nasdaq_30d,corr_eth_nasdaq_30d,risk_ratio_btc_vs_nasdaq
2021-02-03,35472.71,37662.63,35362.38,37618.87,80784.333663,,,,,,13513.4,13596.1,13400.3,13427.2,0.0,3830.17,0.06069518505485805,0.1760045966217456,0.05471611652118607,-0.07303437095656992,0,1,0.061146174778774584,1330984.002769656,,,,,0,0,,,-0.0060110745906249985,0.05717660026769544,0.013402644052181157,-0.010238756901393888,0,0,0.014582340324118289,0.0,0.25759063362421236,,4.08248368630253
2021-02-04,37620.26,38708.27,36161.95,36936.66,92080.735898,,,,,,13442.8,13579.0,13356.6,13571.7,0.0,3871.74,-0.018134781826248392,0.08798737419928959,0.05390761559593823,-0.08984469039970358,0,0,0.06893747296046798,5077573.3617587965,,,,,0,0,,,0.01076173736892283,0.05899014490039556,0.01343789220502097,0.0,0,0,0.016387040680239,0.0,0.2321232218050701,,4.01160945908626
2021-02-05,36936.65,38310.12,36570.0,38290.24,66681.334275,,,,,,13563.3,13646.4,13527.9,13611.8,0.0,3886.83,0.03664597719447271,0.04136269981310514,0.05220629084235337,-0.05649115968066282,0,0,0.04544552345454097,1819608.0766261222,,,,,0,0,,,0.002954677748550294,0.07438394872685361,0.0131971540252696,0.0,0,0,0.008705681834878562,0.0,0.29965433326168317,,3.955871939030997
2021-02-06,38289.32,40955.51,38215.94,39186.94,98757.311183,,,,,,13563.3,13646.4,13527.9,13611.8,0.0,3886.83,0.023418500380253615,-0.006221806093890447,0.050693579175731286,-0.03439559754487172,0,0,0.0699102813335259,4217062.041071226,,,,,0,0,,,0.0,0.052087278460955844,0.01271944760386072,0.0,0,0,0.008705681834878562,0.0,0.24578634698842272,,3.9855142219542703
2021-02-07,39181.01,39700.0,37351.0,38795.69,84363.679763,,,,,,13563.3,13646.4,13527.9,13611.8,0.0,3886.83,-0.009984193713517775,-0.04403637894960932,0.050447800083140044,-0.044036378949609344,0,0,0.06054796293093382,8449715.388797471,,,,,0,0,,,0.0,0.03626840446427204,0.012463832226144776,0.0,0,0,0.008705681834878562,0.0,0.23121168605344283,,4.0475319863499415
2021-02-08,38795.69,46794.45,37988.89,46374.87,138597.536914,,,,,,13627.7,13699.9,13604.2,13693.1,0.0,3915.59,0.1953613919484356,0.15682038264607412,0.06172634745940721,0.0,0,1,0.1898778368543135,709441.7604076262,,,,,0,0,,,0.005972758929752242,0.04245778583065607,0.012490625519043617,0.0,0,0,0.006988921427580235,0.0,0.22723805239863798,,4.941809995600085
2021-02-09,46374.86,48142.19,44961.09,46420.42,115499.861712,,,,,,13687.2,13742.5,13638.9,13705.2,0.0,3911.23,0.0009822129959609072,0.21678625594429568,0.060861489919847064,0.0,0,0,0.06852803141376157,117590264.31569816,,,,,0,0,,,0.0008836567322227928,0.043378960671163425,0.012488098809989844,0.0,0,0,0.007559174619852345,0.0,0.22694655533538916,,4.873555383434921
2021-02-10,46420.42,47310.0,43727.0,44807.58,97154.1822,,,,,,13700.2,13776.8,13525.6,13672.9,0.0,3909.88,-0.03474419231881132,0.2655910397754859,0.05953356690608297,-0.034744192318811346,0,0,0.07996414892301704,2796270.3333499315,,,,,0,0,,,-0.0023567696932551563,0.05842145190506409,0.012042657396907021,-0.0023567696932551944,0,0,0.018372108331078184,0.0,0.17811330872252948,,4.94355319664257
2021-02-11,44807.58,48678.9,43994.02,47969.51,89561.081454,,,,,,13664.9,13750.5,13620.2,13717.9,0.0,3916.38,0.07056685498301851,0.4087448797753035,0.05983626957714408,0.0,0,1,0.0976637034649719,1269166.2223559504,,,,,0,0,,,0.003291181826825307,0.06386493361459245,0.012023150740111137,0.0,0,0,0.009498538406024193,0.0,0.1717706759935449,,4.976750362949151
2021-02-12,47968.66,48985.8,46125.0,47287.6,85870.035697,,,,,,13718.2,13827.6,13653.7,13826.4,0.0,3934.83,-0.014215488129855847,0.2653426231517273,0.05785014499297625,-0.014215488129855892,0,0,0.06049788951014649,6040592.803192242,,,,,0,0,,,0.007909373883757675,0.06446174099822155,0.01203203140812688,0.0,0,0,0.012577388184921573,0.0,0.14804822966029718,,4.808007471940892
